maximum_edges,f1_sample_rate,feature_reduct,lca,f1_calculation,materialize_jg,refinment,f1_sample,jg_enumeration,rank_patterns,total,totals
1,0.1,3.35,0.07,0.06,1.01,0.01,0.02,0.04,0,5.56,4.56
1,0.1,3.36,0.06,0.06,1.01,0.01,0.01,0.03,0,5.54,4.54
1,0.1,3.32,0.06,0.06,1.01,0.01,0.01,0.04,0,5.51,4.51
1,0.1,3.32,0.05,0.05,1,0.01,0.02,0.04,0,5.48,4.49
1,0.1,3.33,0.06,0.06,1.01,0.01,0.01,0.04,0,5.52,4.52
1,0.1,3.32,0.06,0.06,1.01,0.01,0.01,0.04,0,5.5,4.51
1,0.1,3.35,0.06,0.06,1.01,0.01,0.01,0.04,0,5.53,4.54
1,0.1,3.31,0.06,0.08,1.01,0.01,0.01,0.03,0,5.51,4.51
1,0.1,3.36,0.07,0.06,1.01,0.01,0.01,0.04,0,5.55,4.56
1,0.1,3.3,0.07,0.07,1.01,0.01,0.02,0.04,0,5.51,4.52
1,0.1,3.33,0.06,0.04,1.01,0.01,0.01,0.04,0,5.51,4.5
1,0.1,3.33,0.06,0.06,1.01,0.01,0.01,0.04,0,5.52,4.52
1,0.1,3.36,0.06,0.06,1.01,0.01,0.01,0.04,0,5.54,4.55
